title,address,description,state,token,url
کامپیوتر گیمrx580,نیم ساعت پیش در منیریه,"۳۰,۰۰۰,۰۰۰ تومان",کارکرده,gaVhQ9PY,https://divar.ir/v/کامپیوتر گیمrx580/gaVhQ9PY
آی مک i7 نسل ۴ گرافیک دار,نیم ساعت پیش در بازار,"۸۲,۰۰۰,۰۰۰ تومان",در حد نو,gaVhA2og,https://divar.ir/v/آی مک i7 نسل ۴ گرافیک دار/gaVhA2og
کیس نسل ۱۰ اینتل,نیم ساعت پیش در گلاب دره,"۱۹۰,۰۰۰,۰۰۰ تومان",در حد نو,gaVdQxiC,https://divar.ir/v/کیس نسل ۱۰ اینتل/gaVdQxiC
سیستم کامل بسیار سالم,۱ ساعت پیش در فرمانیه,"۲۰,۰۰۰,۰۰۰ تومان",کارکرده,gaVZwJsd,https://divar.ir/v/سیستم کامل بسیار سالم/gaVZwJsd
کیس گیمینگ,۱ ساعت پیش در امام حسین,"۱۳۸,۰۰۰,۰۰۰ تومان",در حد نو,gaVRQx6Q,https://divar.ir/v/کیس گیمینگ/gaVRQx6Q
کامپیوتر,۱ ساعت پیش در نصرت,"۲۰,۰۰۰,۰۰۰ تومان",کارکرده,gaVNA7YF,https://divar.ir/v/کامپیوتر/gaVNA7YF
کیس گیمینگ تمییز و سالم,۱ ساعت پیش در فلسطین (میدان انقلاب),"۹۸,۲۰۰,۰۰۰ تومان",کارکرده,gaVNQ2l5,https://divar.ir/v/کیس گیمینگ تمییز و سالم/gaVNQ2l5
کامپیوتر همراه کیس لپتاپ رایانه اسپیکر کیبرد موس,۱ ساعت پیش در علی‌آباد,"۸,۹۹۰,۰۰۰ تومان",کارکرده,gaVNgxL8,https://divar.ir/v/کامپیوتر همراه کیس لپتاپ رایانه اسپیکر کیبرد موس/gaVNgxL8
ال این وان گرین aio green,۱ ساعت پیش در نیاوران,"۱۱۰,۰۰۰,۰۰۰ تومان",در حد نو,gaVFQftb,https://divar.ir/v/ال این وان گرین aio green/gaVFQftb
(شخصی) کیس گیمینگ گیگابایت,۱ ساعت پیش در فرحزاد,"۴۱۰,۰۰۰,۰۰۰ تومان",در حد نو,gaVFAO-X,https://divar.ir/v/(شخصی) کیس گیمینگ گیگابایت/gaVFAO-X
کیس hp رم 4 حافظه 500 GB و core i5,۱ ساعت پیش در شهرآرا,"۱۲,۰۰۰,۰۰۰ تومان",کارکرده,gaU1N-2P,https://divar.ir/v/کیس hp رم 4 حافظه 500 GB و core i5/gaU1N-2P
سیستم گیمینگ نسل ۱۳,۱ ساعت پیش در تهرانپارس شرقی,"۶۰۰,۰۰۰,۰۰۰ تومان",در حد نو,gaU9_8kG,https://divar.ir/v/سیستم گیمینگ نسل ۱۳/gaU9_8kG
معاوضه pc gaming,۱ ساعت پیش در هاشمی,"۲۰۰,۰۰۰,۰۰۰ تومان",در حد نو,gaU9_7v4,https://divar.ir/v/معاوضه pc gaming/gaU9_7v4
کیس گیمینگ amd,۱ ساعت پیش در تجریش,"۱۰,۵۰۰,۰۰۰ تومان",در حد نو,gaU9_TgL,https://divar.ir/v/کیس گیمینگ amd/gaU9_TgL
مینی کیس چهار هسته ای,در یافت‌آباد,"۵,۲۰۰,۰۰۰ تومان",کارکرده,gaKB28GL,https://divar.ir/v/مینی کیس چهار هسته ای/gaKB28GL
خریدار و فروشنده کیس گیمینگ و ادرای,در ونک,"۴۰۰,۰۰۰,۰۰۰ تومان",کارکرده,Qalbw6Kt,https://divar.ir/v/خریدار و فروشنده کیس گیمینگ و ادرای/Qalbw6Kt
کیس و ست کامل گیمینگ,در سلیمانی,"۱۴۰,۰۰۰,۰۰۰ تومان",کارکرده,gaO9H_l-,https://divar.ir/v/کیس و ست کامل گیمینگ/gaO9H_l-
کیسHPگیمینگG4تاورi7نسل۸ گرافیکASUS1650بزرگ۵و۳و۹,در زیبادشت,"۷۵,۰۰۰,۰۰۰ تومان",در حد نو,gaRx2afq,https://divar.ir/v/کیسHPگیمینگG4تاورi7نسل۸ گرافیکASUS1650بزرگ۵و۳و۹/gaRx2afq
2 عدد کامپیوتر  MSI All in One ام اس ای ال این وان,۲ ساعت پیش در استاد معین,"۳۵,۰۰۰,۰۰۰ تومان",در حد نو,gaUxfCbw,https://divar.ir/v/2 عدد کامپیوتر  MSI All in One ام اس ای ال این وان/gaUxfCbw
مانیتور ال جی,۲ ساعت پیش در تهرانپارس غربی,"۷,۰۰۰,۰۰۰ تومان",کارکرده,gaUtfXjH,https://divar.ir/v/مانیتور ال جی/gaUtfXjH
فروش خریدار کیس مانیتور مینی کیس خراب قدیمی,در نارمک,"۱۰۰,۰۰۰,۰۰۰ تومان",کارکرده,QadfWM7Q,https://divar.ir/v/فروش خریدار کیس مانیتور مینی کیس خراب قدیمی/QadfWM7Q
فروش کیس و مانیتور,۲ ساعت پیش در ونک,"۱۷,۰۰۰,۰۰۰ تومان",در حد نو,gaUl_mTK,https://divar.ir/v/فروش کیس و مانیتور/gaUl_mTK
کیس سرور اپل،  مک پرو سالم و تمیز,۲ ساعت پیش در دهقان,"۶۲,۰۰۰,۰۰۰ تومان",کارکرده,gaUlfgJT,https://divar.ir/v/کیس سرور اپل،  مک پرو سالم و تمیز/gaUlfgJT
میز صندلی کامیپوتر/pc زیر قیمت و نو,۲ ساعت پیش در علی‌آباد,"۶,۵۰۰,۰۰۰ تومان",در حد نو,gaUdfLPK,https://divar.ir/v/میز صندلی کامیپوتر/pc زیر قیمت و نو/gaUdfLPK
سیستم pc گیمینگ و رندرینگ حرفه ای کیس کامپیوتر,۲ ساعت پیش در دردشت,"۳۱۵,۰۰۰,۰۰۰ تومان",نو,gaUdvguD,https://divar.ir/v/سیستم pc گیمینگ و رندرینگ حرفه ای کیس کامپیوتر/gaUdvguD
کیس سامسونگ,۲ ساعت پیش در شهرک شریعتی,"۵,۰۰۰,۰۰۰ تومان",نیازمند تعمیر,gaUNP0RY,https://divar.ir/v/کیس سامسونگ/gaUNP0RY
مانیتور لمسی,۲ ساعت پیش در تهران‌نو,"۴,۵۰۰,۰۰۰ تومان",کارکرده,gaUJ_59h,https://divar.ir/v/مانیتور لمسی/gaUJ_59h
فروشی,۳ ساعت پیش در خلیج فارس,"۴۲,۰۰۰,۰۰۰ تومان",در حد نو,gaU5OjMb,https://divar.ir/v/فروشی/gaU5OjMb
دسته استیم کنترلر Steam Controller,۳ ساعت پیش در شهرک خرازی,"۵۰,۰۰۰,۰۰۰ تومان",در حد نو,gaUxOmjZ,https://divar.ir/v/دسته استیم کنترلر Steam Controller/gaUxOmjZ
سیستم کیس حرفه ای بازی اقسا طی,در میدان ولیعصر,"۱۹۵,۰۰۰,۰۰۰ تومان",نو,AZHvOQnk,https://divar.ir/v/سیستم کیس حرفه ای بازی اقسا طی/AZHvOQnk
کیس گیمینگ نسل 12، گرافیک 3080، دو ترا بازی خفن,در نیروی هوایی (پیروزی),"۱۴۹,۰۰۰,۰۰۰ تومان",در حد نو,gaTRZnTA,https://divar.ir/v/کیس گیمینگ نسل 12، گرافیک 3080، دو ترا بازی خفن/gaTRZnTA
کیس قدرتمندAMD FXطراحی،رندر،میکس درحد نو فول گیم,۳ ساعت پیش در آرژانتین,"۲۱,۵۰۰,۰۰۰ تومان",در حد نو,gaUZ-clQ,https://divar.ir/v/کیس قدرتمندAMD FXطراحی،رندر،میکس درحد نو فول گیم/gaUZ-clQ
کامپیوتر با تمام وسایل,۳ ساعت پیش در توحید,"۱۵,۵۰۰,۰۰۰ تومان",کارکرده,gaUVeq3Q,https://divar.ir/v/کامپیوتر با تمام وسایل/gaUVeq3Q
کیس کامپیوتر گیمینگ با ۸ گیگ رم و ویندوز ۱۰,در نیروی هوایی (پیروزی),"۱۲,۸۰۰,۰۰۰ تومان",در حد نو,gaN9fzj5,https://divar.ir/v/کیس کامپیوتر گیمینگ با ۸ گیگ رم و ویندوز ۱۰/gaN9fzj5
کامپیوتر ddr3  i3بامانیتورlg ۱۷ معاوضه با موبایل,در امانیه,"۲۲,۰۰۰,۰۰۰ تومان",کارکرده,gaPROhzo,https://divar.ir/v/کامپیوتر ddr3  i3بامانیتورlg ۱۷ معاوضه با موبایل/gaPROhzo
دسته گیمینگ وایرلس power lead,در سعادت‌آباد,"۲,۸۵۰,۰۰۰ تومان",نو,gaUJu9T_,https://divar.ir/v/دسته گیمینگ وایرلس power lead/gaUJu9T_
خریدار فروشنده ریگ ماینینگ کارت گرافیک قطعات کیسpc,در آهنگ,"۱,۰۰۰,۰۰۰,۰۰۰ تومان",در حد نو,ga2AGkQI,https://divar.ir/v/خریدار فروشنده ریگ ماینینگ کارت گرافیک قطعات کیسpc/ga2AGkQI
کامپیوتر MSI,۳ ساعت پیش در یافت آباد جنوبی,"۱۳,۰۰۰,۰۰۰ تومان",در حد نو,gaUJOflv,https://divar.ir/v/کامپیوتر MSI/gaUJOflv
دسته T28,۴ ساعت پیش در صد دستگاه,"۳,۸۰۰,۰۰۰ تومان",در حد نو,gaUBut0l,https://divar.ir/v/دسته T28/gaUBut0l
نصب ویندوز / خدمات کامپیوتری (در محل شما ) LP/PC,در جنت‌آباد مرکزی,,,gaK5Fa_h,https://divar.ir/v/نصب ویندوز / خدمات کامپیوتری (در محل شما ) LP/PC/gaK5Fa_h
دسته بازی وایرلس برای PUBG,در سعادت‌آباد,"۲,۸۵۰,۰۰۰ تومان",نو,gaUBeSBw,https://divar.ir/v/دسته بازی وایرلس برای PUBG/gaUBeSBw
ال این وان دل در تمامی مدل ها موجود,در میدان ولیعصر,"۴۲,۰۰۰,۰۰۰ تومان",در حد نو,gaU5dbzC,https://divar.ir/v/ال این وان دل در تمامی مدل ها موجود/gaU5dbzC
کامپیوتر گیمینگ سفید رنگ نسل ۱۲,۴ ساعت پیش در مهران (سیدخندان),"۷۵,۰۰۰,۰۰۰ تومان",در حد نو,gaUtNpxR,https://divar.ir/v/کامپیوتر گیمینگ سفید رنگ نسل ۱۲/gaUtNpxR
مینی کیس قدرتمند hp i7 با رم ۸ گیگ,در میدان ولیعصر,"۱۹,۴۵۰,۰۰۰ تومان",در حد نو,QYcb00CP,https://divar.ir/v/مینی کیس قدرتمند hp i7 با رم ۸ گیگ/QYcb00CP
فروش وخریدار انواع کامپیوتر ال این وان سالم خراب,در نیاوران,"۱۰۰,۰۰۰,۰۰۰ تومان",نو,gatsyWGz,https://divar.ir/v/فروش وخریدار انواع کامپیوتر ال این وان سالم خراب/gatsyWGz
سیستم کامل رایانه با برندهای معتبر,۴ ساعت پیش در بریانک,"۲۳,۰۰۰,۰۰۰ تومان",در حد نو,gaUptWRZ,https://divar.ir/v/سیستم کامل رایانه با برندهای معتبر/gaUptWRZ
کاغذدیواری لمینت Spc  پارکت آلمانی کفپوش ضد آب,۴ ساعت پیش در سوهانک,,,gaUlNVRS,https://divar.ir/v/کاغذدیواری لمینت Spc  پارکت آلمانی کفپوش ضد آب/gaUlNVRS
کیس گیمینگ hp گرافیک ddr5 رم ۱۶,در میدان ولیعصر,"۳۱,۹۰۰,۰۰۰ تومان",در حد نو,Aa8dLqpT,https://divar.ir/v/کیس گیمینگ hp گرافیک ddr5 رم ۱۶/Aa8dLqpT
Monitor LG,۴ ساعت پیش در فلسطین (میدان انقلاب),"۶,۳۰۰,۰۰۰ تومان",در حد نو,gaUddGwu,https://divar.ir/v/Monitor LG/gaUddGwu
سرور HP ProLiant DL380 G9,۴ ساعت پیش در ایوانک,"۱۱۵,۰۰۰,۰۰۰ تومان",در حد نو,gaUZ97TT,https://divar.ir/v/سرور HP ProLiant DL380 G9/gaUZ97TT
کامپیوتر گیمینگ pc مانیتور,۴ ساعت پیش در شوش (باغ آذری),"۷۸,۰۰۰,۰۰۰ تومان",کارکرده,gaUZNFqZ,https://divar.ir/v/کامپیوتر گیمینگ pc مانیتور/gaUZNFqZ
مانیتور,۴ ساعت پیش در امیر بهادر,"۳,۵۰۰,۰۰۰ تومان",کارکرده,gaUVtRfY,https://divar.ir/v/مانیتور/gaUVtRfY
کیس کامپیوتر i5-7600,۴ ساعت پیش در تهرانپارس غربی,"۴۰,۰۰۰,۰۰۰ تومان",کارکرده,gaUVNEW0,https://divar.ir/v/کیس کامپیوتر i5-7600/gaUVNEW0
مینی کیس HP G3/رم8/SSD/نسل هفت/سیستم حرفه‌ای,در بلورسازی,"۲۷,۰۰۰,۰۰۰ تومان",در حد نو,gaBguztx,https://divar.ir/v/مینی کیس HP G3/رم8/SSD/نسل هفت/سیستم حرفه‌ای/gaBguztx
تعمیرات لبتاپ/pcدر محل شما با تجهیزات کامل,در جردن,,,gaR9_Gx_,https://divar.ir/v/تعمیرات لبتاپ/pcدر محل شما با تجهیزات کامل/gaR9_Gx_
کیس و مانیتور گیمینگ,در هروی,"۳۵۰,۰۰۰,۰۰۰ تومان",کارکرده,gaRt-NAY,https://divar.ir/v/کیس و مانیتور گیمینگ/gaRt-NAY
کامپیوتر رومیزی اپل,۴ ساعت پیش در فلسطین (میدان انقلاب),"۱۲۵,۰۰۰,۰۰۰ تومان",در حد نو,gaUNdF3s,https://divar.ir/v/کامپیوتر رومیزی اپل/gaUNdF3s
مینی کیس HP کورای ۵ رم ۴ ssd 128,در میدان ولیعصر,"۱۵,۵۰۰,۰۰۰ تومان",کارکرده,gaLIg_aU,https://divar.ir/v/مینی کیس HP کورای ۵ رم ۴ ssd 128/gaLIg_aU
پخش پارکت لمینیت وSPC,۵ ساعت پیش در شهرک چیتگر,"۱,۹۵۰,۰۰۰ تومان",نو,gaTJm_Vy,https://divar.ir/v/پخش پارکت لمینیت وSPC/gaTJm_Vy
مانیتور و کیبورد,۵ ساعت پیش در کاشانک,"۵,۵۰۰,۰۰۰ تومان",در حد نو,gaU98acJ,https://divar.ir/v/مانیتور و کیبورد/gaU98acJ
کیس مادربرد h61 cpu(i5 2500),در منیریه,"۹,۰۰۰,۰۰۰ تومان",کارکرده,gaOtBKc6,https://divar.ir/v/کیس مادربرد h61 cpu(i5 2500)/gaOtBKc6
کامپیوتر و میز,در امجدیه (خاقانی),"۵,۰۰۰,۰۰۰ تومان",در حد نو,gaCl59S1,https://divar.ir/v/کامپیوتر و میز/gaCl59S1
فروش سیستم‌های تخصصی AI، تحلیل داده و پردازش سنگین,در باغ فیض,"۱۰۰,۰۰۰,۰۰۰ تومان",نو,gaD0RdY4,https://divar.ir/v/فروش سیستم‌های تخصصی AI، تحلیل داده و پردازش سنگین/gaD0RdY4
سیستم/کیس/گیمینگ ورندرینگ با 3080 و i5 نسل14 اقساط,در باغ فیض,"۲۵۵,۶۰۰,۰۰۰ تومان",نو,Aa2u7QpD,https://divar.ir/v/سیستم/کیس/گیمینگ ورندرینگ با 3080 و i5 نسل14 اقساط/Aa2u7QpD
کیس رندریگ و معماری ، مناسب تمامی برنامه های طراحی,در باغ فیض,"۱۰۰,۰۰۰,۰۰۰ تومان",نو,gaBcJNCk,https://divar.ir/v/کیس رندریگ و معماری ، مناسب تمامی برنامه های طراحی/gaBcJNCk
سیستم کامپیوتر کیس گیمینگ اقساطی 14400F RTX5060,در باغ فیض,"۱۶۹,۷۰۰,۰۰۰ تومان",نو,AZjzQd6t,https://divar.ir/v/سیستم کامپیوتر کیس گیمینگ اقساطی 14400F RTX5060/AZjzQd6t
سیستم گیمینگ و رندرینگ 9600X 5060Ti DDR5 اقساطی,در باغ فیض,"۲۳۹,۹۰۰,۰۰۰ تومان",نو,gZv-FIMv,https://divar.ir/v/سیستم گیمینگ و رندرینگ 9600X 5060Ti DDR5 اقساطی/gZv-FIMv
سیستم گیمینگ رندرینگ اقتصادی i3 12100F+2060Super,در باغ فیض,"۱۳۷,۹۰۰,۰۰۰ تومان",نو,Aa2q8wzw,https://divar.ir/v/سیستم گیمینگ رندرینگ اقتصادی i3 12100F+2060Super/Aa2q8wzw
فروشی خریدارکیس مانیتور قدیمی رده خارج همه روزه,در جمهوری,"۱۰,۰۰۰,۰۰۰ تومان",کارکرده,Qa5_QcCf,https://divar.ir/v/فروشی خریدارکیس مانیتور قدیمی رده خارج همه روزه/Qa5_QcCf
کامپیوتر MSI  AM272P 13M نوI5 نسل 13رم ۱۶ و 500ssd,در ایرانشهر,"۱۷۹,۰۰۰,۰۰۰ تومان",نو,gaUxMlYd,https://divar.ir/v/کامپیوتر MSI  AM272P 13M نوI5 نسل 13رم ۱۶ و 500ssd/gaUxMlYd
آل این وان ایسوس,در نازی‌آباد,"۹,۵۰۰,۰۰۰ تومان",در حد نو,gav8rt77,https://divar.ir/v/آل این وان ایسوس/gav8rt77
خرید و فروش کامپیوتر گیمینگ/تسویه نقدی,۵ ساعت پیش در کیانشهر,"۵۰,۰۰۰,۰۰۰ تومان",کارکرده,gaUtMVkM,https://divar.ir/v/خرید و فروش کامپیوتر گیمینگ/تسویه نقدی/gaUtMVkM
Imac A1419 2017 آیمک,در فلسطین (میدان انقلاب),"۷۱,۵۰۰,۰۰۰ تومان",در حد نو,gaUlp7vU,https://divar.ir/v/Imac A1419 2017 آیمک/gaUlp7vU
کیس کامپیوتر نسل ۸,۵ ساعت پیش در سلسبیل شمالی,"۳۵,۰۰۰,۰۰۰ تومان",در حد نو,gaUpMh5v,https://divar.ir/v/کیس کامپیوتر نسل ۸/gaUpMh5v
کیس Logic,۵ ساعت پیش در دریا,"۲,۶۰۰,۰۰۰ تومان",کارکرده,gaUp8rBT,https://divar.ir/v/کیس Logic/gaUp8rBT
کیس Delux,۵ ساعت پیش در دریا,"۲,۶۰۰,۰۰۰ تومان",کارکرده,gaUh86JQ,https://divar.ir/v/کیس Delux/gaUh86JQ
کیس مارک Logic,۵ ساعت پیش در دریا,"۲,۶۰۰,۰۰۰ تومان",کارکرده,gaUd8vYC,https://divar.ir/v/کیس مارک Logic/gaUd8vYC
کیس گیمینگ رندرینگ هوش مصنوعی,در میدان ولیعصر,"۱۰۰,۰۰۰ تومان",نو,gaFFyZRV,https://divar.ir/v/کیس گیمینگ رندرینگ هوش مصنوعی/gaFFyZRV
فروش کیس‌ گیمینگ اقتصادی,در میدان ولیعصر,"۱۰۰,۰۰۰ تومان",نو,gaA19Ji5,https://divar.ir/v/فروش کیس‌ گیمینگ اقتصادی/gaA19Ji5
سیستم,۵ ساعت پیش در کوثر,"۱۲,۰۰۰,۰۰۰ تومان",در حد نو,gaUZMgC5,https://divar.ir/v/سیستم/gaUZMgC5
کیس کامل i7 با رم ۱۶ به همراه مانیتور موس و کیبورد,۵ ساعت پیش در فردوس,"۳۸,۰۰۰,۰۰۰ تومان",کارکرده,gaUV832W,https://divar.ir/v/کیس کامل i7 با رم ۱۶ به همراه مانیتور موس و کیبورد/gaUV832W
سیستم خفن گیمینگ با تمام متعلقات,در شیخ هادی,"۳۵۵,۰۰۰,۰۰۰ تومان",در حد نو,gavsMdme,https://divar.ir/v/سیستم خفن گیمینگ با تمام متعلقات/gavsMdme
سیستم گیمینگ و رندرینگ حرفه ای نو,۵ ساعت پیش در ابوذر,"۲۹۰,۰۰۰,۰۰۰ تومان",در حد نو,gaUV8e_j,https://divar.ir/v/سیستم گیمینگ و رندرینگ حرفه ای نو/gaUV8e_j
آیمک اسلیم مدل۲۰۱۳ iMac2013,در حکمت,"۱۰,۰۰۰ تومان",کارکرده,AaH8t28Q,https://divar.ir/v/آیمک اسلیم مدل۲۰۱۳ iMac2013/AaH8t28Q
کیس گیمینگ قدرتمند و زیبا i7 و 2060super,در فلسطین (میدان انقلاب),"۱۴۹,۰۰۰,۰۰۰ تومان",در حد نو,gaUYC2Ku,https://divar.ir/v/کیس گیمینگ قدرتمند و زیبا i7 و 2060super/gaUYC2Ku
فروشی,۶ ساعت پیش در سیزده آبان,"۱,۰۰۰ تومان",کارکرده,gaUNsXGf,https://divar.ir/v/فروشی/gaUNsXGf
کیس مانیتور ، کامپیوتر کامل و قوی گیمینگ,در هرندی,"۶۵,۰۰۰,۰۰۰ تومان",در حد نو,gaQ1Kmar,https://divar.ir/v/کیس مانیتور ، کامپیوتر کامل و قوی گیمینگ/gaQ1Kmar
۹عدد سی دی ایکس باکس وتعداد۲۸ عدد pc,۶ ساعت پیش در تسلیحات,"۵۰۰,۰۰۰ تومان",در حد نو,gaUJ8hq5,https://divar.ir/v/۹عدد سی دی ایکس باکس وتعداد۲۸ عدد pc/gaUJ8hq5
کامپیوتر اداری مانیتور خراب هست,۶ ساعت پیش در شهرک رضویه,"۷,۰۰۰,۰۰۰ تومان",در حد نو,gaUFcuq5,https://divar.ir/v/کامپیوتر اداری مانیتور خراب هست/gaUFcuq5
بازی نوار سگا)دیسک4نصبps1پرو5فت۳گیمps2نتCDیکpcوان6,در مسعودیه,"۱,۰۰۰ تومان",نو,gaUF8lxo,https://divar.ir/v/بازی نوار سگا)دیسک4نصبps1پرو5فت۳گیمps2نتCDیکpcوان6/gaUF8lxo
مینی کیس i5 در حد,۶ ساعت پیش در میدان ولیعصر,"۱۱,۹۰۰,۰۰۰ تومان",در حد نو,gaUFsW_T,https://divar.ir/v/مینی کیس i5 در حد/gaUFsW_T
دسته بازی کامپیوتر,۶ ساعت پیش در شیخ هادی,"۴۵۰,۰۰۰ تومان",در حد نو,gaUBc1AO,https://divar.ir/v/دسته بازی کامپیوتر/gaUBc1AO
دسته پلیPC PS1 PS3 PS2 PS4یکXBOX360لبتابsegaسگاone,در مسعودیه,"۹۹,۰۰۰ تومان",نو,gaU9r7Bn,https://divar.ir/v/دسته پلیPC PS1 PS3 PS2 PS4یکXBOX360لبتابsegaسگاone/gaU9r7Bn
کیس حرفه ای i7,۶ ساعت پیش در جنت‌آباد شمالی,"۴۲,۰۰۰,۰۰۰ تومان",در حد نو,gaU57bhD,https://divar.ir/v/کیس حرفه ای i7/gaU57bhD
کامپیوتر گیمینگ,در ایرانشهر,"۱۵۰,۰۰۰,۰۰۰ تومان",در حد نو,gaRZA9DT,https://divar.ir/v/کامپیوتر گیمینگ/gaRZA9DT
کیس کامپیوتر کامل ( یک ماه گارانتی ),در اتحاد,"۱۵,۰۰۰,۰۰۰ تومان",کارکرده,gaEUT11_,https://divar.ir/v/کیس کامپیوتر کامل ( یک ماه گارانتی )/gaEUT11_
کیس core i5 نسل ۱۱ رم ۱۶ گرافیک ۸,۶ ساعت پیش در قنات‌کوثر,"۱۱۸,۰۰۰,۰۰۰ تومان",کارکرده,gaU1b5CK,https://divar.ir/v/کیس core i5 نسل ۱۱ رم ۱۶ گرافیک ۸/gaU1b5CK
کامپیوتر و کیس و صفحه کلید مناسب  اداری,۶ ساعت پیش در جنت‌آباد جنوبی,"۲,۰۰۰,۰۰۰ تومان",کارکرده,gaU17WmA,https://divar.ir/v/کامپیوتر و کیس و صفحه کلید مناسب  اداری/gaU17WmA
فروش و خریدار رایانه قطعات ضایعات کامپیوتر,در جنت‌آباد شمالی,"۱۰,۰۰۰,۰۰۰ تومان",کارکرده,ga5cxHEO,https://divar.ir/v/فروش و خریدار رایانه قطعات ضایعات کامپیوتر/ga5cxHEO
نسل دوازده i7 مینی پی سی اینتل,در جهاد,"۱۳۵,۰۰۰,۰۰۰ تومان",در حد نو,ga8cx0_P,https://divar.ir/v/نسل دوازده i7 مینی پی سی اینتل/ga8cx0_P
کیس DDR3 کامل و آماده,۶ ساعت پیش در جنت‌آباد شمالی,"۵,۰۰۰,۰۰۰ تومان",در حد نو,gaU9gQV3,https://divar.ir/v/کیس DDR3 کامل و آماده/gaU9gQV3
کیس گیمینگ در حد نو ( ضمانت تست یک هفته ای),۶ ساعت پیش در عبدل‌آباد,"۱۴۴,۹۰۰,۰۰۰ تومان",در حد نو,gaUpLmY4,https://divar.ir/v/کیس گیمینگ در حد نو ( ضمانت تست یک هفته ای)/gaUpLmY4
رایانه,۶ ساعت پیش در لویزان,"۳,۰۰۰,۰۰۰ تومان",کارکرده,gaUdLljq,https://divar.ir/v/رایانه/gaUdLljq
کامپیوتر,۶ ساعت پیش در فلاح,"۳۰,۰۰۰,۰۰۰ تومان",در حد نو,gaUZr-kv,https://divar.ir/v/کامپیوتر/gaUZr-kv
کیس کامپیوتر به همراه مانیتور,۷ ساعت پیش در دروازه شمیران,"۱۰,۰۰۰,۰۰۰ تومان",کارکرده,gaUZ7o3z,https://divar.ir/v/کیس کامپیوتر به همراه مانیتور/gaUZ7o3z
مانیتور,۷ ساعت پیش در والفجر (افسریه),"۱۱,۰۰۰,۰۰۰ تومان",در حد نو,gaUZrZdM,https://divar.ir/v/مانیتور/gaUZrZdM
All in one HP ENVY 34 Inch- I7- RAM 32 - کامپیوتر,در دریا,"۶۸۰,۰۰۰,۰۰۰ تومان",در حد نو,gaQlNjVS,https://divar.ir/v/All in one HP ENVY 34 Inch- I7- RAM 32 - کامپیوتر/gaQlNjVS
فروش و خرید کیس های قدیمی,در نارمک,"۲۰,۰۰۰,۰۰۰ تومان",کارکرده,gaHt40nd,https://divar.ir/v/فروش و خرید کیس های قدیمی/gaHt40nd
کیس کامپیوتر گیمینگ 2060 super,در فلسطین (میدان انقلاب),"۱۳۰,۰۰۰,۰۰۰ تومان",در حد نو,gaUxKdmr,https://divar.ir/v/کیس کامپیوتر گیمینگ 2060 super/gaUxKdmr
